,name,level,hot,address,num
0,故宫,5A景区,1.0,[北京·北京·东城区],13415
1,圆明园,4A景区,0.76,[北京·北京·海淀区],6025
2,八达岭长城缆车,,,[北京·北京·八达岭长城],2436
3,八达岭长城,5A景区,0.82,[北京·北京·延庆县],2250
4,天安门广场,,1.0,[北京·北京·东城区],2684
5,恭王府,5A景区,0.74,[北京·北京·西城区],1234
6,颐和园,5A景区,0.82,[北京·北京·海淀区],1368
7,水立方,,,[北京·北京·奥林匹克公园],3050
8,慕田峪长城,5A景区,0.7,[北京·北京·怀柔区],1306
9,故宫礼物,,,[北京·北京·故宫],1070
10,北京杜莎夫人蜡像馆,,,[北京·北京·前门大街],1006
11,恭王府大戏楼,,,[北京·北京·西城区],458
12,天坛公园,5A景区,0.8,[北京·北京·东城区],392
13,前门老北京影戏馆,,,[北京·北京·东城区],546
14,定陵,,0.72,[北京·北京·明十三陵],720
15,什刹海,4A景区,0.78,[北京·北京·西城区],1430
16,慕田峪长城箱式索道,,,[北京·北京·慕田峪长城],1314
17,北京动物园,4A景区,0.72,[北京·北京·西城区],700
18,明十三陵,5A景区,0.72,[北京·北京·昌平区],258
19,鸟巢,5A景区,0.8400000000000001,[北京·北京·奥林匹克公园],176
20,北海公园,4A景区,0.76,[北京·北京·西城区],252
21,北京欢乐谷,4A景区,0.72,[北京·北京·朝阳区],2568
22,德云社相声大会广德楼店,,,[北京·北京·西城区],102
23,世界公园,4A景区,0.7,[北京·北京·丰台区],2111
24,故宫讲解,,,[北京·北京·故宫],176
25,珍宝馆,,,[北京·北京·故宫],146
26,中国国家大剧院,,0.7,[北京·北京·西城区],102
27,北京海洋馆,4A景区,0.7,[北京·北京·西城区],348
28,北京野生动物园,4A景区,0.7,[北京·北京·大兴区],2292
29,景山公园,4A景区,0.74,[北京·北京·西城区],42
30,老舍茶馆,3A景区,0.7,[北京·北京·西城区],46
31,喇叭沟原始森林公园,,0.7,[北京·北京·怀柔区],542
32,阙左门（东阙门）,,,[北京·北京·东城区],44
33,奥林匹克塔,,,[北京·北京·朝阳区],198
34,丫髻山,4A景区,0.7,[北京·北京·平谷区],234
35,北京刘老根大舞台,,,[北京·北京·东城区],48
36,奥林匹克公园,5A景区,0.74,[北京·北京·朝阳区],28
37,北京大观园,3A景区,0.76,[北京·北京·西城区],108
38,雁栖湖旅游区,4A景区,0.7,[北京·北京·怀柔区],168
39,古北水镇,,,[北京·北京·密云县],964
40,雍和宫,,0.76,[北京·北京·东城区],46
41,德云社三庆园剧场,,,[北京·北京·西城区],76
42,清华大学,,0.76,[北京·北京·海淀区],38
43,八达岭古长城,3A景区,,[北京·北京·延庆县],66
44,宋庆龄故居,3A景区,0.7,[北京·北京·西城区],110
45,居庸关长城,4A景区,0.72,[北京·北京·昌平区],98
46,中影基地旅游城,,,[北京·北京·怀柔区],98
47,北京朝阳剧场杂技,,,[北京·北京·朝阳区],32
